nome,ano,posicao,competicao,gols,minutagem
Talles Magno,2020,,Amistosos preparatórios para Sul-Americano Sub-20,1,120
Lucão,2020,Goleiro,"Jogos-treino contra Corinthians Sub-23 e Ituano",0,180
Bruno Gomes,2020,,Amistosos em Itu/SP,0,90
Riquelme,2020,,,0,0
Andrey Santos,2021,,Amistosos e treinos preparatórios,2,300
Andrey Santos,2022,,Torneio Internacional Sub-20 (ES),3,400
Marlon Gomes,2022,,Amistosos contra Bolívia e Equador,1,260
Erick Marcus,2022,,,0,0
Rayan,2022,,,0,0
Phillipe Gabriel,2022,,,0,0
Matheus,2022,,,0,0
Rodrigo Pacuja,2022,,,0,0
Victao,2022,,,0,0
Rayan Rocha,2023,,Amistosos na Granja Comary,2,270
Andrey Santos,2023,,,0,0
Marlon Gomes,2023,,,0,0
Paulinho,2023,,,0,0
Figueiredo,2023,,,0,0
Juliao,2023,,,0,0
Paixao,2023,,,0,0
Allan Santos,2023,,,0,0
Rodrigo Jr.,2023,,,0,0
Renan,2023,,,0,0
Andrey Fernandes,2023,,,0,0
Alexandre,2023,,,0,0
GB,2024,,,0,0
Leandrinho,2024,,,0,0
Lyncon,2024,,,0,0
Phillipe Gabriel,2024,,,0,0
Rayan,2024,,,0,0
Paulinho,2025,,,0,0
Luiz Gustavo,2025,,,0,0
Leandrinho,2025,,,0,0
Rayan,2025,,,0,0